luck can plot,0
use is period,0
sword is swordsmanship,0
system are size,0
spear is thrower,0
apples have significance,1
plastic have plastic,0
course had bit,0
vessel are concern,0
example is gulf,0
service are order,0
star have orbit,1
question can alliance,0
stand can epemitreus,0
river are source,0
language is rivers,0
death was man,0
march have attention,0
star have name,1
time are order,0
interaction is force,1
recliner is mechanism,0
size are hundred,0
sitcom can comedy,0
talk is mind,0
hero were ear,0
tool have period,0
outline was being,0
company be move,0
product have production,0
civilian were air,0
plastic are system,0
tenor can f,0
shaft were symbol,0
stage is miracle,0
others can side,0
armory were jungle,0
atlatl is spear-throwers,1
warning was Police,0
level are earth,0
period are record,0
polysaccharide is plant,0
country have access,1
people have wheel,0
magician is serpent,0
audience can use,0
spring are surface,0
juice are food,0
fiend be material,0
sword—it is sign,0
decline has cause,1
plateau have top,0
rinaldo is torch,0
prospect 's world,0
warrior was dream,0
language was monk,0
reunification been foot,0
obscurity were culture,0
amnesty be blanket,0
potato is tuber,0
pack were point,0
sphere were government,0
biochemistry is acid,0
chair has leg,1
launch had day,0
memorial has bench,0
age is type,0
bill was lot,0
model be energy,0
earth is planet,1
province have hope,0
shoulder was talon,0
history was government,0
hammer are wool,0
type is tenor,0
eye was time,0
comedy is genre,1
city Are wine,0
earthquake are arc,0
participation have problem,0
earth is mount,0
apple was tonne,0
industry has gun,0
pad was force,0
caicedo is football,0
effect has debate,0
djembe are way,0
man was action,0
engine is octane,0
egypt is kingdom,1
olav are order,0
force is electroweak,0
seed be parent,0
situation is economist,0
charge was rushing,0
nebula are dense,0
century are launch,0
government is signal,0
music had influence,1
island have island,0
port has place,0
nebula was object,0
other be exposure,0
air has density,1
eye were mouth,0
krämer is improvement,0
force is interaction,0
oath was cross,0
teenager are acne,0
wind was warrior,0
canals are isthmus,0
energy is expert,0
project be developer,0
language is knighthood,0
type is chest,0
overhaul had society,0
sand are millimeter,0
rating is grade,0
pollution be world,0
plan being lack,0
control was hand,0
oil is fuel,1
spain have neighbor,1
faso have government,0
germany is —,0
point be build,0
warrior had dream,1
mountain is summit,0
talent are concern,0
rest be guard,0
mirror 's city,0
nebulae have density,1
fact was foreigner,0
helmet been lack,0
outline was baboon,0
desk is exception,0
coach was planet,0
mist is world,0
nylon is thermoplastic,1
door had eye,0
fray had palace,0
plane are thickness,0
fructose is sugar,1
mainland is type,0
plateau having summit,0
agenda was agreement,0
sequence are gear,0
cycle is maintenance,0
swirl is water,0
alliance was signing,0
portrait is snapshot,0
constant have definition,1
duty is strength,0
mind is power,0
field being gift,0
conference was course,0
region have source,0
force is field,0
sector been year,0
polyamide is silk,0
country been scar,0
charge were official,0
audience be use,0
sword be edge,0
specie are %,0
planet had association,0
apple been thousand,0
power was magician,0
plumage is colourful,1
lens is device,1
lenses are material,0
packaging was polymer,0
doom are land,0
stylus have publius,0
star been constellation,0
hill are goblet,0
yeasts are microorganism,1
yew is ornamental,0
rain has hour,0
access was result,0
king is foot,0
ascalante can conan,0
debut was cancer,0
constant have definition,1
plastic are shape,0
name is diesel,0
yeast been electricity,0
god is ymir,0
usage is china,0
plastic is packaging,1
continue is plastic,0
fact has skill,0
deed is doom,0
region been source,0
state been site,0
astronomer have star,0
luck can volmana,0
people been state,0
diameter be eye,0
activity been people,0
opinion are plan,0
river being creek,0
launch have ship,0
king are day,0
group have demonstration,1
settee is item,1
home are family,0
yeasts have electricity,0
export are effect,0
fuel is diesel,0
state has leverage,0
light are lens,0
force is country,0
eu is trade,0
tuber been glycoalkaloid,0
apple is fruit,1
formation is hypothesis,0
nasa have october,0
sun is point,0
particle is decay,0
ocean are pattern,0
model has %,0
fruit are prone,0
word was thought,0
manufacturer has shift,0
stage have stage,0
wa have ship,0
period was use,0
brother is overhaul,0
spokeswoman was concern,0
light can concentration,0
mountains are force,0
talk is dion,0
other are set,0
change is cost,0
synthesizer are keyboard,1
fuel be distillate,0
horse were side,0
dung be manure,1
vessel was kilometer,0
foe were armor,0
cattle are area,0
executive were medium,0
gem had dion,0
transmission are wheel,0
starch is adhesive,0
oil is gallon,0
system is point,0
food be space,0
dog was man,0
diameter can eye,0
isthmus be shortcut,0
people was calculator,0
synthesizers are keyboard,0
people are black,0
insurgent have challenge,0
option be port,0
plateau can monsoon,0
land was hill,0
capability been light,0
energy is development,0
phenomenon are term,0
potato were world,0
facility has capacity,0
statue was motion,0
garment were fabric,0
off-kilter is time,0
tribe has king,1
launch have minute,0
country have celsius,0
top is leg,0
priest is word,0
family is tree,0
fuel is en,0
kenya have source,0
overhaul has pillar,0
moog is concept,0
shadow been eye,0
indoor are couch,0
fireman were shovel,0
mountain be agriculture,0
safety has flood,0
tenor is type,0
nation was enemy,0
head was time,0
energy is demand,0
people be city,0
voyager is spacecraft,1
reaction been baking,0
thrower is extension,0
stock are motion,0
sunshine can energy,0
glacier has ice,1
genus is maple,0
electricity can need,0
ocean can tsunami,1
match were reason,0
rinaldo is prospero,0
