година	1
кажа	2
време	1
страна	1
дейност	1
ням	3
нов	3
нещо	1
път	1
знам	2
решение	1
имам	1
български	3
дружество	1
ден	1
съд	1
голям	3
част	1
работа	1
член	1
искам	2
под	1
лице	1
цял	3
ръка	1
име	1
връзка	1
човек	1
място	1
цел	1
край	1
дума	1
случай	1
основание	1
жена	1
взема	2
търговски	3
глава	1
град	1
последен	3
вид	1
живот	1
управление	1
око	1
закон	1
съвет	1
става	2
въпрос	1
започна	2
капитал	1
използвам	2
видя	2
сила	1
право	1
направя	2
дете	1
държавен	2
представлявам	2
мисля	2
адрес	1
свят	1
хор	1
услуга	1
час	1
европейски	3
дам	2
група	1
момент	1
вода	1
система	1
държава	1
мъж	1
казвам	2
малък	3
национален	3
промяна	1
стана	2
срок	1
област	1
получа	2
стар	3
условие	1
стока	1
село	1
продукт	1
общ	3
правя	2
комисия	1
различен	3
дойда	2
език	1
производство	1
остана	2
брой	1
месец	1
управлявам	2
хора	1
информация	1
земя	1
проект	1
сделка	1
ред	1
община	1
проблем	1
река	1
вписвам	2
основен	3
намирам	2
гледам	2
глас	1
средство	1
окръжен	3
разбера	2
история	1
отговор	1
пара	1
външен	3
предмет	1
впиша	2
отговорност	1
район	1
син	1
приема	2
намеря	2
договор	1
възможност	1
министър	1
прав	3
продажба	1
дело	1
резултат	1
давам	2
няма	2
посоча	2
начало	1
върна	2
цена	1
попитам	2
едноличен	3
смятам	2
приложение	1
данни	1
опит	1
финансов	3
продължа	2
говоря	2
точка	1
известен	3
реша	2
живея	2
оставя	2
директор	1
душа	1
поглед	1
софийски	3
период	1
седалище	1
къща	1
започвам	2
вестник	1
направа	1
имот	1
открия	2
военен	3
компания	1
собственик	1
вътрешен	3
причина	1
очаквам	2
международен	3
политически	3
мина	2
пазар	1
успея	2
развитие	1
спра	2
вижда	2
чуя	2
млад	3
баща	1
разбира	2
нося	2
център	1
погледна	2
правителство	1
регистър	1
необходим	3
врата	1
отида	2
власт	1
фирма	1
седмица	1
търговия	1
градски	3
помощ	1
продължавам	2
обърна	2
организация	1
бял	3
действие	1
господин	1
определя	2
изглежда	2
програма	1
книга	1
избор	1
пълен	3
форма	1
документ	1
партия	1
орган	1
нямам	2
държа	2
стая	1
световен	3
майка	1
план	1
поставя	2
управител	1
смърт	1
население	1
войн	1
променя	2
изляза	2
стоя	2
главен	3
приятел	1
пациент	1
тяло	1
век	1
стан	1
представя	2
вляза	2
работя	2
среща	1
банка	1
дом	1
заявя	2
висок	3
местен	3
представител	1
оставам	2
мярка	1
дата	1
бог	1
среда	1
състояние	1
търся	2
процес	1
основа	1
общност	1
президент	1
семейство	1
американски	3
кораб	1
политик	1
тръгна	2
стойност	1
иск	1
сметка	1
види	2
нощ	1
председател	1
получавам	2
отвърна	2
обичам	2
изискване	1
крак	1
създам	2
стигна	2
материал	1
единствен	3
българин	1
регламент	1
интерес	1
идея	1
идвам	2
отбор	2
важен	3
съюз	1
съобщя	2
параграф	1
събрание	1
мисъл	1
минута	1
покупка	1
състав	1
икономически	3
народен	3
животно	1
маса	1
флаг	1
участвам	2
република	1
контрол	1
сграда	1
източник	1
филм	1
съдържам	2
пиша	2
участие	1
сигурност	1
стена	1
картинка	1
официален	3
агенция	1
внимание	1
бия	2
тип	1
вдигна	2
предложение	1
човешки	3
наричам	2
поема	2
съответствие	1
недвижим	3
момче	1
брат	1
размер	1
икона	1
руски	3
гора	1
означавам	2
миг	1
представителство	1
истински	3
покажа	2
училище	1
прилагам	2
чакам	2
изследване	1
специален	3
министерство	1
включвам	2
огромен	3
съдебен	3
значение	1
водя	2
обект	1
съществувам	2
съдружник	1
подам	2
сърце	1
положение	1
светлина	1
служба	1
роля	1
граждански	3
показвам	2
играя	2
моля	2
факт	1
помисля	2
употреба	1
територия	1
граница	1
убия	2
лечение	1
ниво	1
прием	1
текст	1
наблюдавам	2
велик	3
извършвам	2
долар	1
посредничество	1
дълъг	3
вечер	1
номер	1
забележа	2
доклад	1
говор	1
предприятие	1
степен	1
предлагам	2
правило	1
чужбина	1
обществен	3
социален	3
директива	1
карта	1
процедура	1
английски	3
места	1
армия	1
опитвам	2
силен	3
собственост	1
струва	2
кон	1
защита	1
отговарям	2
позиция	1
момиче	1
народ	1
нужда	1
споразумение	1
обясня	2
информационен	3
личен	3
култура	1
годишен	3
германий	1
храна	1
общество	1
окажа	2
ад	1
знача	2
добавя	2
среден	3
изпълнение	1
познавам	2
лекар	1
оценка	1
вещество	1
кола	1
движение	1
превозен	3
евро	1
централен	3
проучване	1
влизам	2
чувство	1
задължение	1
изпратя	2
игра	1
рекламен	3
рамка	1
изпълня	2
смисъл	1
списък	1
работен	3
улица	1
жив	3
предоставя	2
разбирам	2
разход	1
представа	1
създавам	2
площ	1
рамо	1
вярвам	2
акция	1
море	1
качество	1
дърво	1
първоначален	3
лев	1
линия	1
включително	1
помогна	2
бизнес	1
фонд	1
пръст	1
доза	1
събитие	1
тежък	3
виждам	2
писмо	1
желание	1
сайт	1
проведа	2
служител	1
дял	1
затвор	1
варен	3
цар	1
чета	2
извикам	2
френски	3
удар	1
западен	3
туристически	3
отчет	1
регион	1
разговор	1
възможен	3
краен	3
разпоредба	1
църква	1
труд	1
парламент	1
автор	1
борба	1
заповед	1
риск	1
отделение	1
твърд	3
кръв	1
описание	1
отделен	3
нарека	2
адвокат	1
мач	1
неопределен	3
отвор	1
родя	2
бряг	1
песен	1
административен	3
въздух	1
изисквам	2
крал	1
физически	3
хвърля	2
акт	1
седна	2
разрешение	1
научен	3
избера	2
база	1
реакция	1
технически	3
събера	2
загуба	1
гражданин	1
установя	2
шеф	1
гол	1
истина	1
сутрин	1
любов	1
поле	1
остров	1
предвидя	2
свободен	3
доведа	2
оръжие	1
сума	1
количество	1
университет	1
икономика	1
институция	1
прозорец	1
откажа	2
северен	3
чувствам	2
организирам	2
гръцки	3
опис	1
южен	3
принцип	1
сложа	2
задача	1
полиция	1
науча	2
позволя	2
незабранен	3
операция	1
дневен	3
награда	1
вещ	1
разлика	1
препратка	1
извърша	2
зала	1
машина	1
турски	3
поява	1
падна	2
гръб	1
страх	1
съпруг	1
допълнителен	3
мрежа	1
проверка	1
уста	1
пусна	2
възраст	1
строеж	1
модел	1
поискам	2
отивам	2
общински	3
карам	1
действам	2
връх	1
близък	3
усмихна	2
предам	2
надявам	2
липса	1
пост	1
капитан	1
метод	1
предложа	2
странен	3
кожа	1
превърна	2
желая	2
сторя	2
планина	1
комитет	1
литература	1
усилие	1
дъщеря	1
наука	1
легло	1
изменение	1
постигна	2
накарам	2
жител	1
образование	1
мнение	1
слънце	1
врат	1
хвана	2
предполагам	2
снимка	1
седя	2
ефект	1
запазя	2
сериозен	3
притежавам	2
свърша	2
бюджет	1
кръг	1
премиер	1
изправя	2
тема	1
свобода	1
производител	1
знак	1
клуб	1
слушам	2
надежда	1
успех	1
изкуство	1
сестра	1
чужд	3
ситуация	1
изпълнителен	3
болка	1
комисионен	3
наложа	2
лек	3
лидер	1
частен	3
вървя	2
използване	1
вида	2
златен	3
щат	1
сръбски	3
строителство	1
код	1
биография	1
внос	1
тон	1
функция	1
лекарствен	3
съдържание	1
източен	3
войник	1
ляв	3
войска	1
камък	1
преработя	2
горен	3
зона	1
обадя	2
извадя	2
посока	1
подкрепа	1
ос	1
движа	2
благодаря	2
грижа	1
кмет	1
поддържам	2
структура	1
музика	1
елемент	1
подходящ	3
умра	2
чуждестранен	3
дух	1
победа	1
последвам	2
ясен	3
куче	1
клиент	1
насоча	2
буква	1
огън	1
кабинет	1
сезон	1
медицински	3
нарушение	1
бъдеще	1
телефон	1
транспортен	3
изпълнявам	2
клас	1
оглед	1
висш	3
минавам	2
включа	2
исторически	3
призная	2
метър	1
изчезна	2
позволявам	2
доктор	1
самолет	1
анализ	1
дреха	1
хубав	3
обработен	3
разкажа	2
отбележа	2
налага	2
широк	3
селище	1
бележка	1
жалба	1
съобщение	1
следа	1
връщам	2
културен	3
обучение	1
сектор	1
личност	1
опитам	2
чест	1
височина	1
заменя	2
дявол	1
процент	1
стъпка	1
автомобил	1
небе	1
битка	1
регистрирам	2
генерал	1
енергия	1
акционер	1
заличавам	2
считам	2
чувам	2
приличам	2
кандидат	1
износ	1
устна	1
опасност	1
следвам	2
окръг	1
устройство	1
завърша	2
империя	1
лош	3
състоя	2
газ	1
чаша	1
цвят	1
столица	1
заема	2
влияние	1
престъпление	1
кимна	2
стандарт	1
ходя	2
характер	1
звезда	1
професионален	3
занимавам	2
забравя	2
портрет	1
произход	1
усмивка	1
юридически	3
спя	2
отнася	2
освободя	2
страница	1
съвременен	3
разполагам	2
спомен	1
пия	2
лекарство	1
пристигна	2
наименование	1
война	1
пространство	1
изменя	2
учител	1
практик	1
срещна	2
сътрудничество	1
намерение	1
предишен	3
морски	3
гръд	1
дълг	1
препродажба	1
ръководство	1
изключение	1
обзавеждане	1
електронен	3
убийство	1
род	1
мъртъв	3
жертва	1
конкретен	3
категория	1
инвестиция	1
задържа	2
криза	1
данък	1
уча	2
институт	1
съдия	1
премина	2
новина	1
минало	1
питам	2
хотел	1
провеждам	2
вятър	1
колега	1
пример	1
достигна	2
гост	1
строителен	3
медия	1
издавам	2
албум	1
харесвам	2
дружествен	3
тъмен	3
нисък	3
доказателство	1
режим	1
редица	1
лежа	2
депутат	1
поведение	1
болест	1
търговец	1
заем	1
красив	3
участник	1
лист	1
зелен	3
